Business Name,Business Address
Embarc,"475 Santa Clara Ave, Alameda, CA 94501"
Fuzzy Caterpillar Preschool,"1510 Encinal Ave, Alameda, CA 94501"
Golden Needle Tailoring,"1903 Encinal Ave, Alameda, CA 94501"
A-Town Productions,909 Marina Village Pkwy. Ste 357
Alameda Elks Lodge #1015,"2255 Santa Clara Ave, Alameda, CA 94501"
1701 Auto Care,"1701 Buena Vista Ave, Alameda, CA 94501"
Alameda Municpal Power,"2000 Grand St, Alameda, CA 94501"
A.T. Weber Plumbing,"1100 Lincoln Ave, Alameda, CA 94501"
A1 Market,"1420 Encinal Ave, Alameda, CA 94501"
Alameda Bicycle,"1522 Park St, Alameda, CA 94501"
Alameda Cards and Comics,"1515 Webster St, Alameda, CA 94501"
Alameda Post,"1516 Oak St., Suite 203, Alameda, CA 94501"
Almanac Beer Co.,"651 W Tower Ave, Alameda, CA 94501"
BAMP,"2350 Saratoga St Unit 250, Alameda, CA 94501, USA"
Alameda Theatre & Cineplex,"2317 Central Ave, Alameda, CA 94501"
Beaker’s Records,"918 Central Ave Unit A, Alameda, CA 94501"
Fireside Lounge,"1453 Webster St, Alameda, CA 94501"
Forbidden Island,"1304 Lincoln Ave, Alameda, CA 94501"
High Scores Arcade,"1414 Park St, Alameda, CA 94501"
Highwire Coffee Roasters,"1300 Park St, Alameda, CA 94501"
Island Savoy,"1200 Lincoln Ave, Alameda, CA 94501"
Lazybird Coffee,"930 Central Ave, Alameda, CA 94501"
Ozzy's Music Academy,"1323 Central Ave, Alameda, CA 94501"
Norman Sanchez Archiecture,"1151 Harbor Bay Pkwy # 206C, Alameda, CA 94502"
Park Station,"1200 Park St, Alameda, CA 94501"
Red Tie Printing,"741 Buena Vista Ave, Alameda, CA 94501"
Rhythmix Cultural Works,"2513 Blanding Ave, Alameda, CA 94501"
Rotary Club,"1406 Morton Avenue, Alameda, CA 94501"
Ruby's Tumbling,"1102 Lincoln Ave, Alameda, CA 94501"
Salon 1500,"1500 Encinal Ave, Alameda, CA 94501"
Santoros Italian Market & Deli,"475 Santa Clara Ave, Alameda, CA 94501"
Team Schuler Real Estate,"1414 Park Ave, Alameda, CA 94501"
The Benton,"1403 Encinal Ave, Alameda, CA 94501"
The Experience Share,"1600 Sherman St, Alameda, CA 94501"
The Gunderman Group,"2437 Santa Clara Ave, Alameda, CA 94501"
The Local,"1333 Park St, Alameda, CA 94501"
Trabocco Kitchen & Cocktails,"2213 South Shore Center, Alameda, CA 94501"
Tucker’s Super Creamed Ice Cream,"1349 Park St, Alameda, CA 94501"
Village Kids Club,"1102 Lincoln Ave, Alameda, CA 94501"
Westside Joes,"1000 Central Ave, Alameda, CA 94501"
1400 Bar & Grill,"1400 Webster St, Alameda, CA 94501"
A & T Bookkeeping & Tax Services,"1336 Weber St, Alameda, CA 94501"
A & T House Cleaning,"647 Haight Ave, Alameda, CA 94501"
A B C Preschool,"1525 Bay St, Alameda, CA 94501"
Admiral Maltings,"651 W Tower Ave, Alameda, CA 94501"
Alameda Bagels & Donuts,"1300 Park St, Alameda, CA 94501"
Alameda Floral Design,"1908 Encinal Ave, Alameda, CA 94501"
Alameda Golf Works,"1710 Lincoln Ave, Alameda, CA 94501"
Alameda Museum,"2329 Central Ave, Alameda, CA 94501"
Asena Restaurant,"2500 Santa Clara Ave, Alameda, CA 94501"
Bead Inspirations,"1544 Park St, Alameda, CA 94501"
Beadissimo,"1318 Park St, Alameda, CA 94501"
Blue Dot Cafe,"1910 Encinal Ave, Alameda, CA 94501"
Books Inc.,"1344 Park St, Alameda, CA 94501"
Café Jolie,"1500 Webster St, Alameda, CA 94501"
Chestnut Encinal Market,"1202 Chestnut St, Alameda, CA 94501"
Craft Chocolate,"1118 Lincoln Ave, Alameda, CA 94501"
Croll's Pizza,"1454 Webster St, Alameda, CA 94501"
Dan’s Fresh Produce,"2300 Central Ave, Alameda, CA 94501"
Doodlebug,"1234 Park St, Alameda, CA 94501"
Dragon Rouge,"2337 Blanding Ave, Alameda, CA 94501"
East End Pizza,"1650 Park St, Alameda, CA 94501"
El Caballo Wraps,"1108 Lincoln Ave, Alameda, CA 94501"
Farmstead Cheeses and Wines,"1650 Park St, Alameda, CA 94501"
Frank Logan Barbershop,"928 Central Ave #A, Alameda, CA 94501"
Gold Coast Coffee,"1340 Park St, Alameda, CA 94501"
Gold Coast Real Estate,"1300 Encinal Ave, Alameda, CA 94501"
Jay's Coffee and Treats,"1414 Encinal Ave, Alameda, CA 94501"
Jim's Coffee Shop,"1333 Park St, Alameda, CA 94501"
Juan's Barbershop,"1201a Lincoln Ave, Alameda, CA 94501"
Julie's Coffee Shop,"1223 Park St, Alameda, CA 94501"
Marti's Place,"1905 1/2 Encinal Ave, Alameda, CA 94501"
McGee's Bar & Grill,"1640 Park St, Alameda, CA 94501"
Mosley’s Cafe,"2099 Grand St, Alameda, CA 94501"
Neptune Beach Brewing Co.,"1300 Park St, Alameda, CA 94501"
Neptune's Net Seafood,"1900 Webster St, Alameda, CA 94501"
Ole’s Waffle Shop,"1507 Park St, Alameda, CA 94501"
Pacific Pinball Museum,"1510 Webster St, Alameda, CA 94501"
Park Social,"1222 Park St, Alameda, CA 94501"
Parkway Auto Repair,"2100 Encinal Ave, Alameda, CA 94501"
Penumbra,"One Penumbra Place Alameda, CA 94502"
Preferred Properties,"1914 Encinal Ave, Alameda, CA 94501"
Scolari’s Kitchen,"1303 Park St, Alameda, CA 94501"
Semifreddi's Bakery,"2715 Pacific Ave, Alameda, CA 94501"
Speisekammer,"2424 Lincoln Ave, Alameda, CA 94501"
Star Market,"1336 Park St, Alameda, CA 94501"
Sunclean Carpet Care,"2021 San Antonio Ave, Alameda, CA 94501"
The Beanery,"1650 Park St, Alameda, CA 94501"
The Star on Park,"1400 Park St, Alameda, CA 94501"
The Thrifty Kitty,"1509 Webster St, Alameda, CA 94501"
Toy Safari,"1410 Park St, Alameda, CA 94501"
Troy Greek Cuisine,"2320 Central Ave, Alameda, CA 94501"
Tutu School Alameda,"1419 Park St Unit H, Alameda, CA 94501"
Twirl,"1424 Park St, Alameda, CA 94501"
Twist,"1906 Encinal Ave, Alameda, CA 94501"
Whisk Cake Creations,"1216 Lincoln Ave, Alameda, CA 94501"
Whiz Kids,"1335 Park St, Alameda, CA 94501"
Kat's Meow,"1519 Park St, Alameda, CA 94501"
Phoenix Coworking,"2315 Lincoln Ave Unit 2, Alameda, CA 94501"
Digifli,"1516 Oak St #203, Alameda, CA 94501"
Three Weeks Barbershop,"1913 BROADWAY SUITE A ALAMEDA, CA 94501"
Village Voyagers,"1011 Grand Street, Alameda CA 94501"
