Business Name,Business Address,Latitude,Longitude
"Embarc","475 Santa Clara Ave, Alameda, CA 94501",37.7682,-122.2893
"Fuzzy Caterpillar Preschool","1510 Encinal Ave, Alameda, CA 94501",37.7628,-122.2525
"Golden Needle Tailoring","1903 Encinal Ave, Alameda, CA 94501",37.7625,-122.2465
"A-Town Productions","909 Marina Village Pkwy. Ste 357, Alameda, CA 94501",37.7894,-122.2722
"Alameda Elks Lodge #1015","2255 Santa Clara Ave, Alameda, CA 94501",37.7686,-122.2638
"1701 Auto Care","1701 Buena Vista Ave, Alameda, CA 94501",37.7693,-122.2548
"Alameda Municpal Power","2000 Grand St, Alameda, CA 94501",37.7752,-122.2495
"A.T. Weber Plumbing","1100 Lincoln Ave, Alameda, CA 94501",37.7702,-122.2545
"A1 Market","1420 Encinal Ave, Alameda, CA 94501",37.7627,-122.2538
"Alameda Bicycle","1522 Park St, Alameda, CA 94501",37.7635,-122.2428
"Alameda Cards and Comics","1515 Webster St, Alameda, CA 94501",37.7712,-122.2765
"Alameda Post","1516 Oak St., Suite 203, Alameda, CA 94501",37.7742,-122.2752
"Almanac Beer Co.","651 W Tower Ave, Alameda, CA 94501",37.7832,-122.3065
"BAMP","2350 Saratoga St Unit 250, Alameda, CA 94501",37.7785,-122.2882
"Alameda Theatre & Cineplex","2317 Central Ave, Alameda, CA 94501",37.7642,-122.2412
"Beaker's Records","918 Central Ave Unit A, Alameda, CA 94501",37.7644,-122.2582
"Fireside Lounge","1453 Webster St, Alameda, CA 94501",37.7714,-122.2768
"Forbidden Island","1304 Lincoln Ave, Alameda, CA 94501",37.7701,-122.2515
"High Scores Arcade","1414 Park St, Alameda, CA 94501",37.7638,-122.2432
"Highwire Coffee Roasters","1300 Park St, Alameda, CA 94501",37.7642,-122.2435
"Island Savoy","1200 Lincoln Ave, Alameda, CA 94501",37.7702,-122.2528
"Lazybird Coffee","930 Central Ave, Alameda, CA 94501",37.7644,-122.2578
"Ozzy's Music Academy","1323 Central Ave, Alameda, CA 94501",37.7643,-122.2512
"Norman Sanchez Archiecture","1151 Harbor Bay Pkwy # 206C, Alameda, CA 94502",37.7382,-122.2518
"Park Station","1200 Park St, Alameda, CA 94501",37.7645,-122.2438
"Red Tie Printing","741 Buena Vista Ave, Alameda, CA 94501",37.7698,-122.2668
"Rhythmix Cultural Works","2513 Blanding Ave, Alameda, CA 94501",37.7722,-122.2878
"Rotary Club","1406 Morton Avenue, Alameda, CA 94501",37.7658,-122.2552
"Ruby's Tumbling","1102 Lincoln Ave, Alameda, CA 94501",37.7703,-122.2542
"Salon 1500","1500 Encinal Ave, Alameda, CA 94501",37.7628,-122.2528
"Santoros Italian Market & Deli","475 Santa Clara Ave, Alameda, CA 94501",37.7682,-122.2893
"Team Schuler Real Estate","1414 Park Ave, Alameda, CA 94501",37.7638,-122.2432
"The Benton","1403 Encinal Ave, Alameda, CA 94501",37.7628,-122.2542
"The Experience Share","1600 Sherman St, Alameda, CA 94501",37.7695,-122.2485
"The Gunderman Group","2437 Santa Clara Ave, Alameda, CA 94501",37.7685,-122.2612
"The Local","1333 Park St, Alameda, CA 94501",37.7640,-122.2434
"Trabocco Kitchen & Cocktails","2213 South Shore Center, Alameda, CA 94501",37.7452,-122.2548
"Tucker's Super Creamed Ice Cream","1349 Park St, Alameda, CA 94501",37.7639,-122.2433
"Village Kids Club","1102 Lincoln Ave, Alameda, CA 94501",37.7703,-122.2542
"Westside Joes","1000 Central Ave, Alameda, CA 94501",37.7644,-122.2568
"1400 Bar & Grill","1400 Webster St, Alameda, CA 94501",37.7715,-122.2770
"A & T Bookkeeping & Tax Services","1336 Weber St, Alameda, CA 94501",37.7708,-122.2775
"A & T House Cleaning","647 Haight Ave, Alameda, CA 94501",37.7732,-122.2625
"A B C Preschool","1525 Bay St, Alameda, CA 94501",37.7682,-122.2798
"Admiral Maltings","651 W Tower Ave, Alameda, CA 94501",37.7832,-122.3065
"Alameda Bagels & Donuts","1300 Park St, Alameda, CA 94501",37.7642,-122.2435
"Alameda Floral Design","1908 Encinal Ave, Alameda, CA 94501",37.7625,-122.2462
